odtaz_timeslot,o2d_taz,timeslot,ODcount
"惠济桥-齐门桥,9-17",惠济桥-齐门桥,9-17,30
"惠济桥-娄门桥,17-19",惠济桥-娄门桥,17-19,48
"惠济桥-娄门桥,7-9",惠济桥-娄门桥,7-9,54
"惠济桥-85,0-7",惠济桥-85,0-7,30
"惠济桥-85,19-24",惠济桥-85,19-24,138
"惠济桥-85,9-17",惠济桥-85,9-17,354
"惠济桥-86,19-24",惠济桥-86,19-24,6
"惠济桥-87,17-19",惠济桥-87,17-19,18
"惠济桥-87,9-17",惠济桥-87,9-17,12
"惠济桥-平门桥,0-7",惠济桥-平门桥,0-7,6
"阊门桥-惠济桥,17-19",阊门桥-惠济桥,17-19,24
"阊门桥-惠济桥,7-9",阊门桥-惠济桥,7-9,12
"阊门桥-阊门桥,0-7",阊门桥-阊门桥,0-7,6
"阊门桥-阊门桥,9-17",阊门桥-阊门桥,9-17,12
"阊门桥-1005,0-7",阊门桥-1005,0-7,6
"阊门桥-1009,0-7",阊门桥-1009,0-7,6
"阊门桥-1009,19-24",阊门桥-1009,19-24,6
"阊门桥-1009,9-17",阊门桥-1009,9-17,24
"阊门桥-1011,9-17",阊门桥-1011,9-17,6
"阊门桥-1013,7-9",阊门桥-1013,7-9,12
"阊门桥-阊门桥,17-19",阊门桥-阊门桥,17-19,6
"阊门桥-104,0-7",阊门桥-104,0-7,12
"阊门桥-104,19-24",阊门桥-104,19-24,6
"阊门桥-姑胥桥,19-24",阊门桥-姑胥桥,19-24,6
"阊门桥-姑胥桥,9-17",阊门桥-姑胥桥,9-17,12
"阊门桥-118,19-24",阊门桥-118,19-24,6
"阊门桥-123,9-17",阊门桥-123,9-17,18
"阊门桥-新市桥,0-7",阊门桥-新市桥,0-7,6
"阊门桥-相门桥,19-24",阊门桥-相门桥,19-24,6
"阊门桥-138,17-19",阊门桥-138,17-19,6
"阊门桥-139,9-17",阊门桥-139,9-17,6
"阊门桥-新市桥,17-19",阊门桥-新市桥,17-19,12
"阊门桥-144,0-7",阊门桥-144,0-7,6
"阊门桥-144,7-9",阊门桥-144,7-9,6
"阊门桥-149,7-9",阊门桥-149,7-9,6
"阊门桥-156,19-24",阊门桥-156,19-24,6
"阊门桥-161,9-17",阊门桥-161,9-17,6
"阊门桥-164,7-9",阊门桥-164,7-9,6
"阊门桥-金门路,19-24",阊门桥-金门路,19-24,6
"阊门桥-金门路,9-17",阊门桥-金门路,9-17,12
"阊门桥-18,19-24",阊门桥-18,19-24,6
"阊门桥-景德桥,7-9",阊门桥-景德桥,7-9,6
"阊门桥-2,17-19",阊门桥-2,17-19,12
"阊门桥-2,9-17",阊门桥-2,9-17,12
"阊门桥-人民桥,17-19",阊门桥-人民桥,17-19,6
"阊门桥-人民桥,19-24",阊门桥-人民桥,19-24,6
"阊门桥-22,0-7",阊门桥-22,0-7,6
"阊门桥-22,9-17",阊门桥-22,9-17,18
"阊门桥-24,7-9",阊门桥-24,7-9,6
"阊门桥-3,0-7",阊门桥-3,0-7,24
"阊门桥-3,19-24",阊门桥-3,19-24,192
"阊门桥-3,9-17",阊门桥-3,9-17,258
"阊门桥-干将桥（干将西路）,7-9",阊门桥-干将桥（干将西路）,7-9,6
"阊门桥-33,9-17",阊门桥-33,9-17,6
"阊门桥-39,17-19",阊门桥-39,17-19,6
"阊门桥-41,0-7",阊门桥-41,0-7,6
"阊门桥-齐门桥,0-7",阊门桥-齐门桥,0-7,18
"阊门桥-齐门桥,19-24",阊门桥-齐门桥,19-24,24
"阊门桥-齐门桥,9-17",阊门桥-齐门桥,9-17,66
"阊门桥-47,19-24",阊门桥-47,19-24,18
"阊门桥-平门桥,9-17",阊门桥-平门桥,9-17,6
"阊门桥-54,17-19",阊门桥-54,17-19,6
"阊门桥-61,9-17",阊门桥-61,9-17,6
"阊门桥-惠济桥,0-7",阊门桥-惠济桥,0-7,36
"阊门桥-惠济桥,19-24",阊门桥-惠济桥,19-24,42
"阊门桥-惠济桥,9-17",阊门桥-惠济桥,9-17,132
"阊门桥-72,7-9",阊门桥-72,7-9,6
"阊门桥-81,0-7",阊门桥-81,0-7,6
"阊门桥-齐门桥,17-19",阊门桥-齐门桥,17-19,12
"阊门桥-齐门桥,9-17",阊门桥-齐门桥,9-17,6
"阊门桥-娄门桥,19-24",阊门桥-娄门桥,19-24,12
"阊门桥-娄门桥,9-17",阊门桥-娄门桥,9-17,6
"阊门桥-85,17-19",阊门桥-85,17-19,18
"阊门桥-85,7-9",阊门桥-85,7-9,24
"阊门桥-87,17-19",阊门桥-87,17-19,12
"阊门桥-87,7-9",阊门桥-87,7-9,6
"阊门桥-娄门桥,0-7",阊门桥-娄门桥,0-7,6
"阊门桥-平门桥,9-17",阊门桥-平门桥,9-17,6
"100-惠济桥,0-7",100-惠济桥,0-7,6
"100-101,9-17",100-101,9-17,6
"100-阊门桥,0-7",100-阊门桥,0-7,12
"100-新市桥,19-24",100-新市桥,19-24,6
"100-164,9-17",100-164,9-17,6
"100-2,0-7",100-2,0-7,12
"100-人民桥,7-9",100-人民桥,7-9,6
"100-南园桥,17-19",100-南园桥,17-19,6
"100-85,19-24",100-85,19-24,6
"100-86,9-17",100-86,9-17,18
"1001-1002,17-19",1001-1002,17-19,6
"1001-1002,7-9",1001-1002,7-9,6
"1001-101,17-19",1001-101,17-19,6
"1001-104,9-17",1001-104,9-17,6
"1001-新市桥,9-17",1001-新市桥,9-17,6
"1001-139,17-19",1001-139,17-19,6
"1001-164,9-17",1001-164,9-17,6
"1001-金门路,9-17",1001-金门路,9-17,6
"1001-33,17-19",1001-33,17-19,6
"1001-55,9-17",1001-55,9-17,6
"1001-85,19-24",1001-85,19-24,6
"1002-1003,9-17",1002-1003,9-17,24
"1002-1004,7-9",1002-1004,7-9,6
"1002-101,0-7",1002-101,0-7,6
"1002-104,9-17",1002-104,9-17,6
"1002-相门桥,19-24",1002-相门桥,19-24,6
"1002-新市桥,9-17",1002-新市桥,9-17,6
"1002-164,0-7",1002-164,0-7,18
"1002-164,7-9",1002-164,7-9,6
"1002-181,9-17",1002-181,9-17,6
"1002-3,19-24",1002-3,19-24,6
"1002-87,9-17",1002-87,9-17,6
"1003-阊门桥,19-24",1003-阊门桥,19-24,6
"1003-1002,9-17",1003-1002,9-17,12
"1003-1003,19-24",1003-1003,19-24,53
"1003-1003,9-17",1003-1003,9-17,185
"1003-1005,19-24",1003-1005,19-24,53
"1003-1009,19-24",1003-1009,19-24,26
"1003-1009,9-17",1003-1009,9-17,26
"1003-景德桥,9-17",1003-景德桥,9-17,6
"1003-1013,9-17",1003-1013,9-17,18
"1003-104,19-24",1003-104,19-24,12
"1003-相门桥,0-7",1003-相门桥,0-7,18
"1003-相门桥,19-24",1003-相门桥,19-24,36
"1003-相门桥,9-17",1003-相门桥,9-17,24
"1003-姑胥桥,17-19",1003-姑胥桥,17-19,26
"1003-116,7-9",1003-116,7-9,26
"1003-新市桥,19-24",1003-新市桥,19-24,26
"1003-131,9-17",1003-131,9-17,26
"1003-新市桥,7-9",1003-新市桥,7-9,26
"1003-144,9-17",1003-144,9-17,26
"1003-164,0-7",1003-164,0-7,132
"1003-164,19-24",1003-164,19-24,158
"1003-164,9-17",1003-164,9-17,343
"1003-173,17-19",1003-173,17-19,26
"1003-葑门桥,17-19",1003-葑门桥,17-19,53
"1003-葑门桥,9-17",1003-葑门桥,9-17,53
"1003-葑门桥,19-24",1003-葑门桥,19-24,26
"1003-199,9-17",1003-199,9-17,26
"1003-人民桥,17-19",1003-人民桥,17-19,26
"1003-竹辉路,19-24",1003-竹辉路,19-24,53
"1003-206,0-7",1003-206,0-7,26
"1003-3,9-17",1003-3,9-17,12
"1003-33,0-7",1003-33,0-7,26
"1003-齐门桥,7-9",1003-齐门桥,7-9,12
"1003-47,19-24",1003-47,19-24,6
"1003-57,19-24",1003-57,19-24,6
"1003-惠济桥,19-24",1003-惠济桥,19-24,6
"1003-娄门桥,17-19",1003-娄门桥,17-19,18
"1003-娄门桥,7-9",1003-娄门桥,7-9,18
"1003-85,17-19",1003-85,17-19,6
"1003-87,17-19",1003-87,17-19,6
"1003-娄门桥,9-17",1003-娄门桥,9-17,6
"1003-娄门桥,19-24",1003-娄门桥,19-24,6
"1004-惠济桥,7-9",1004-惠济桥,7-9,6
"1004-1003,19-24",1004-1003,19-24,26
"1004-1003,9-17",1004-1003,9-17,26
"1004-1005,19-24",1004-1005,19-24,26
"1004-1009,17-19",1004-1009,17-19,53
"1004-1013,9-17",1004-1013,9-17,6
"1004-相门桥,17-19",1004-相门桥,17-19,6
"1004-相门桥,7-9",1004-相门桥,7-9,6
"1004-姑胥桥,7-9",1004-姑胥桥,7-9,26
"1004-新市桥,9-17",1004-新市桥,9-17,53
"1004-新市桥,7-9",1004-新市桥,7-9,26
"1004-144,19-24",1004-144,19-24,26
"1004-145,9-17",1004-145,9-17,26
"1004-164,0-7",1004-164,0-7,53
"1004-164,19-24",1004-164,19-24,53
"1004-164,9-17",1004-164,9-17,106
"1004-葑门桥,19-24",1004-葑门桥,19-24,26
"1004-人民桥,9-17",1004-人民桥,9-17,26
"1004-人民桥,9-17",1004-人民桥,9-17,53
"1004-竹辉路,17-19",1004-竹辉路,17-19,53
"1004-竹辉路,7-9",1004-竹辉路,7-9,26
"1004-南园桥,19-24",1004-南园桥,19-24,26
"1004-3,0-7",1004-3,0-7,6
"1004-齐门桥,7-9",1004-齐门桥,7-9,6
"1004-62,7-9",1004-62,7-9,6
"1004-惠济桥,9-17",1004-惠济桥,9-17,6
"1004-娄门桥,17-19",1004-娄门桥,17-19,6
"1004-娄门桥,7-9",1004-娄门桥,7-9,12
"1004-85,9-17",1004-85,9-17,6
"1005-惠济桥,0-7",1005-惠济桥,0-7,6
"1005-惠济桥,19-24",1005-惠济桥,19-24,6
"1005-1001,7-9",1005-1001,7-9,6
"1005-1003,17-19",1005-1003,17-19,26
"1005-1003,19-24",1005-1003,19-24,26
"1005-1003,9-17",1005-1003,9-17,79
"1005-1004,17-19",1005-1004,17-19,26
"1005-1004,19-24",1005-1004,19-24,26
"1005-1004,9-17",1005-1004,9-17,53
"1005-1005,17-19",1005-1005,17-19,106
"1005-1005,19-24",1005-1005,19-24,238
"1005-1005,7-9",1005-1005,7-9,132
"1005-1005,9-17",1005-1005,9-17,343
"1005-1007,17-19",1005-1007,17-19,26
"1005-1008,17-19",1005-1008,17-19,26
"1005-1009,17-19",1005-1009,17-19,79
"1005-1009,7-9",1005-1009,7-9,26
"1005-1009,9-17",1005-1009,9-17,106
"1005-1013,0-7",1005-1013,0-7,6
"1005-104,9-17",1005-104,9-17,6
"1005-相门桥,0-7",1005-相门桥,0-7,6
"1005-相门桥,17-19",1005-相门桥,17-19,6
"1005-相门桥,19-24",1005-相门桥,19-24,6
"1005-姑胥桥,0-7",1005-姑胥桥,0-7,26
"1005-姑胥桥,17-19",1005-姑胥桥,17-19,26
"1005-姑胥桥,19-24",1005-姑胥桥,19-24,53
"1005-姑胥桥,7-9",1005-姑胥桥,7-9,26
"1005-姑胥桥,9-17",1005-姑胥桥,9-17,26
"1005-116,7-9",1005-116,7-9,26
"1005-116,9-17",1005-116,9-17,26
"1005-新市桥,9-17",1005-新市桥,9-17,26
"1005-新市桥,17-19",1005-新市桥,17-19,26
"1005-新市桥,19-24",1005-新市桥,19-24,53
"1005-新市桥,9-17",1005-新市桥,9-17,79
"1005-相门桥,17-19",1005-相门桥,17-19,106
"1005-相门桥,19-24",1005-相门桥,19-24,79
"1005-相门桥,7-9",1005-相门桥,7-9,53
"1005-相门桥,9-17",1005-相门桥,9-17,185
"1005-131,17-19",1005-131,17-19,26
"1005-131,19-24",1005-131,19-24,53
"1005-131,7-9",1005-131,7-9,79
"1005-131,9-17",1005-131,9-17,79
"1005-132,19-24",1005-132,19-24,26
"1005-136,19-24",1005-136,19-24,26
"1005-138,17-19",1005-138,17-19,26
"1005-139,9-17",1005-139,9-17,26
"1005-140,17-19",1005-140,17-19,26
"1005-140,9-17",1005-140,9-17,53
"1005-新市桥,0-7",1005-新市桥,0-7,26
"1005-新市桥,17-19",1005-新市桥,17-19,79
"1005-新市桥,19-24",1005-新市桥,19-24,53
"1005-新市桥,7-9",1005-新市桥,7-9,132
"1005-新市桥,9-17",1005-新市桥,9-17,132
"1005-144,0-7",1005-144,0-7,26
"1005-144,17-19",1005-144,17-19,53
"1005-144,19-24",1005-144,19-24,106
"1005-144,7-9",1005-144,7-9,53
"1005-144,9-17",1005-144,9-17,132
"1005-145,9-17",1005-145,9-17,26
"1005-146,9-17",1005-146,9-17,26
"1005-164,0-7",1005-164,0-7,79
"1005-164,17-19",1005-164,17-19,26
"1005-164,19-24",1005-164,19-24,79
"1005-164,7-9",1005-164,7-9,26
"1005-168,7-9",1005-168,7-9,26
"1005-金门路,0-7",1005-金门路,0-7,6
"1005-172,7-9",1005-172,7-9,53
"1005-176,7-9",1005-176,7-9,26
"1005-176,9-17",1005-176,9-17,53
"1005-178,19-24",1005-178,19-24,26
"1005-182,19-24",1005-182,19-24,26
"1005-182,9-17",1005-182,9-17,26
"1005-183,9-17",1005-183,9-17,26
"1005-185,19-24",1005-185,19-24,26
"1005-187,19-24",1005-187,19-24,26
"1005-188,17-19",1005-188,17-19,26
"1005-188,19-24",1005-188,19-24,53
"1005-葑门桥,7-9",1005-葑门桥,7-9,26
"1005-南园桥,17-19",1005-南园桥,17-19,26
"1005-葑门桥,17-19",1005-葑门桥,17-19,26
"1005-葑门桥,9-17",1005-葑门桥,9-17,26
"1005-197,0-7",1005-197,0-7,79
"1005-197,9-17",1005-197,9-17,53
"1005-198,17-19",1005-198,17-19,26
"1005-199,0-7",1005-199,0-7,26
"1005-199,19-24",1005-199,19-24,26
"1005-2,9-17",1005-2,9-17,6
"1005-人民桥,17-19",1005-人民桥,17-19,53
"1005-人民桥,7-9",1005-人民桥,7-9,79
"1005-人民桥,9-17",1005-人民桥,9-17,185
"1005-202,7-9",1005-202,7-9,26
"1005-204,0-7",1005-204,0-7,26
"1005-204,9-17",1005-204,9-17,53
"1005-竹辉路,17-19",1005-竹辉路,17-19,79
"1005-竹辉路,19-24",1005-竹辉路,19-24,158
"1005-竹辉路,7-9",1005-竹辉路,7-9,185
"1005-竹辉路,9-17",1005-竹辉路,9-17,106
"1005-206,0-7",1005-206,0-7,26
"1005-206,17-19",1005-206,17-19,26
"1005-206,19-24",1005-206,19-24,26
"1005-206,7-9",1005-206,7-9,106
"1005-南园桥,17-19",1005-南园桥,17-19,26
"1005-南园桥,7-9",1005-南园桥,7-9,53
"1005-22,9-17",1005-22,9-17,6
"1005-3,19-24",1005-3,19-24,12
"1005-3,7-9",1005-3,7-9,6
"1005-3,9-17",1005-3,9-17,24
"1005-干将桥（干将西路）,17-19",1005-干将桥（干将西路）,17-19,26
"1005-干将桥（干将西路）,9-17",1005-干将桥（干将西路）,9-17,53
"1005-33,17-19",1005-33,17-19,26
"1005-干将桥（干将西路）,9-17",1005-干将桥（干将西路）,9-17,26
"1005-43,0-7",1005-43,0-7,6
"1005-47,19-24",1005-47,19-24,6
"1005-47,7-9",1005-47,7-9,12
"1005-47,9-17",1005-47,9-17,6
"1005-平门桥,9-17",1005-平门桥,9-17,6
"1005-5,9-17",1005-5,9-17,6
"1005-惠济桥,9-17",1005-惠济桥,9-17,12
"1005-75,19-24",1005-75,19-24,26
"1005-82,9-17",1005-82,9-17,6
"1005-齐门桥,7-9",1005-齐门桥,7-9,6
"1005-齐门桥,9-17",1005-齐门桥,9-17,6
"1005-娄门桥,17-19",1005-娄门桥,17-19,6
"1005-娄门桥,7-9",1005-娄门桥,7-9,6
"1006-新市桥,19-24",1006-新市桥,19-24,26
"1006-相门桥,19-24",1006-相门桥,19-24,26
"1006-131,0-7",1006-131,0-7,26
"1006-齐门桥,9-17",1006-齐门桥,9-17,6
"1006-娄门桥,0-7",1006-娄门桥,0-7,6
"1007-1005,7-9",1007-1005,7-9,26
"1007-姑胥桥,7-9",1007-姑胥桥,7-9,26
"1007-姑胥桥,9-17",1007-姑胥桥,9-17,26
"1007-116,9-17",1007-116,9-17,26
"1007-相门桥,9-17",1007-相门桥,9-17,26
"1007-131,0-7",1007-131,0-7,26
"1007-139,19-24",1007-139,19-24,26
"1007-新市桥,19-24",1007-新市桥,19-24,53
"1007-新市桥,7-9",1007-新市桥,7-9,26
"1007-新市桥,9-17",1007-新市桥,9-17,79
"1007-144,7-9",1007-144,7-9,26
"1007-147,7-9",1007-147,7-9,26
"1007-156,7-9",1007-156,7-9,26
"1007-178,0-7",1007-178,0-7,26
"1007-179,19-24",1007-179,19-24,26
"1007-181,9-17",1007-181,9-17,26
"1007-竹辉路,19-24",1007-竹辉路,19-24,26
"1007-206,0-7",1007-206,0-7,26
"1007-金门路,9-17",1007-金门路,9-17,6
"1007-47,9-17",1007-47,9-17,6
"1007-平门桥,9-17",1007-平门桥,9-17,6
"1008-惠济桥,19-24",1008-惠济桥,19-24,6
"1008-惠济桥,9-17",1008-惠济桥,9-17,6
"1008-阊门桥,19-24",1008-阊门桥,19-24,12
"1008-阊门桥,9-17",1008-阊门桥,9-17,6
"1008-1008,19-24",1008-1008,19-24,26
"1008-1008,9-17",1008-1008,9-17,26
"1008-1009,7-9",1008-1009,7-9,26
"1008-1009,9-17",1008-1009,9-17,132
"1008-景德桥,19-24",1008-景德桥,19-24,6
"1008-姑胥桥,9-17",1008-姑胥桥,9-17,26
"1008-123,7-9",1008-123,7-9,53
"1008-相门桥,0-7",1008-相门桥,0-7,26
"1008-相门桥,9-17",1008-相门桥,9-17,26
"1008-131,9-17",1008-131,9-17,26
"1008-132,9-17",1008-132,9-17,26
"1008-138,9-17",1008-138,9-17,26
"1008-新市桥,9-17",1008-新市桥,9-17,53
"1008-145,7-9",1008-145,7-9,26
"1008-146,7-9",1008-146,7-9,26
"1008-156,7-9",1008-156,7-9,26
"1008-156,9-17",1008-156,9-17,26
"1008-162,7-9",1008-162,7-9,53
"1008-162,9-17",1008-162,9-17,26
"1008-163,7-9",1008-163,7-9,26
"1008-164,17-19",1008-164,17-19,26
"1008-164,19-24",1008-164,19-24,106
"1008-164,7-9",1008-164,7-9,317
"1008-164,9-17",1008-164,9-17,53
"1008-165,9-17",1008-165,9-17,26
"1008-199,17-19",1008-199,17-19,26
"1008-199,9-17",1008-199,9-17,26
"1008-2,17-19",1008-2,17-19,18
"1008-2,19-24",1008-2,19-24,12
"1008-2,7-9",1008-2,7-9,6
"1008-2,9-17",1008-2,9-17,6
"1008-人民桥,19-24",1008-人民桥,19-24,26
"1008-竹辉路,19-24",1008-竹辉路,19-24,26
"1008-3,17-19",1008-3,17-19,282
"1008-3,19-24",1008-3,19-24,144
"1008-3,7-9",1008-3,7-9,348
"1008-3,9-17",1008-3,9-17,330
"1008-干将桥（干将西路）,7-9",1008-干将桥（干将西路）,7-9,26
"1008-惠济桥,7-9",1008-惠济桥,7-9,6
"1008-惠济桥,9-17",1008-惠济桥,9-17,6
"1008-齐门桥,7-9",1008-齐门桥,7-9,6
"1009-惠济桥,0-7",1009-惠济桥,0-7,6
"1009-惠济桥,17-19",1009-惠济桥,17-19,6
"1009-惠济桥,9-17",1009-惠济桥,9-17,12
"1009-阊门桥,0-7",1009-阊门桥,0-7,6
"1009-阊门桥,19-24",1009-阊门桥,19-24,18
"1009-阊门桥,7-9",1009-阊门桥,7-9,12
"1009-阊门桥,9-17",1009-阊门桥,9-17,54
"1009-1001,19-24",1009-1001,19-24,6
"1009-1002,19-24",1009-1002,19-24,6
"1009-1003,19-24",1009-1003,19-24,26
"1009-1004,17-19",1009-1004,17-19,26
"1009-1005,0-7",1009-1005,0-7,26
"1009-1005,19-24",1009-1005,19-24,79
"1009-1005,7-9",1009-1005,7-9,26
"1009-1005,9-17",1009-1005,9-17,53
"1009-1007,0-7",1009-1007,0-7,26
"1009-1008,19-24",1009-1008,19-24,26
"1009-1008,9-17",1009-1008,9-17,53
"1009-1009,0-7",1009-1009,0-7,12
"1009-1009,17-19",1009-1009,17-19,36
"1009-1009,19-24",1009-1009,19-24,24
"1009-1009,7-9",1009-1009,7-9,18
"1009-1009,9-17",1009-1009,9-17,72
"1009-景德桥,9-17",1009-景德桥,9-17,6
"1009-1013,0-7",1009-1013,0-7,6
"1009-1013,17-19",1009-1013,17-19,6
"1009-阊门桥,9-17",1009-阊门桥,9-17,6
"1009-104,19-24",1009-104,19-24,6
"1009-104,9-17",1009-104,9-17,6
"1009-相门桥,7-9",1009-相门桥,7-9,6
"1009-姑胥桥,17-19",1009-姑胥桥,17-19,26
"1009-姑胥桥,19-24",1009-姑胥桥,19-24,26
"1009-姑胥桥,9-17",1009-姑胥桥,9-17,53
"1009-姑胥桥,17-19",1009-姑胥桥,17-19,26
"1009-姑胥桥,19-24",1009-姑胥桥,19-24,26
"1009-116,17-19",1009-116,17-19,26
"1009-117,17-19",1009-117,17-19,26
"1009-117,19-24",1009-117,19-24,26
"1009-117,9-17",1009-117,9-17,26
"1009-119,9-17",1009-119,9-17,26
"1009-123,17-19",1009-123,17-19,53
"1009-123,9-17",1009-123,9-17,26
"1009-124,0-7",1009-124,0-7,26
"1009-126,17-19",1009-126,17-19,26
"1009-新市桥,17-19",1009-新市桥,17-19,26
"1009-新市桥,19-24",1009-新市桥,19-24,53
"1009-新市桥,9-17",1009-新市桥,9-17,26
"1009-新市桥,9-17",1009-新市桥,9-17,26
"1009-相门桥,19-24",1009-相门桥,19-24,26
"1009-相门桥,9-17",1009-相门桥,9-17,26
"1009-131,19-24",1009-131,19-24,53
"1009-132,7-9",1009-132,7-9,26
"1009-134,19-24",1009-134,19-24,26
"1009-138,19-24",1009-138,19-24,26
"1009-139,19-24",1009-139,19-24,26
"1009-139,7-9",1009-139,7-9,26
"1009-14,19-24",1009-14,19-24,6
"1009-新市桥,0-7",1009-新市桥,0-7,79
"1009-新市桥,17-19",1009-新市桥,17-19,26
"1009-新市桥,19-24",1009-新市桥,19-24,53
"1009-新市桥,9-17",1009-新市桥,9-17,106
"1009-144,0-7",1009-144,0-7,106
"1009-144,19-24",1009-144,19-24,132
"1009-144,7-9",1009-144,7-9,26
"1009-144,9-17",1009-144,9-17,53
"1009-145,0-7",1009-145,0-7,26
"1009-145,9-17",1009-145,9-17,26
"1009-146,17-19",1009-146,17-19,26
"1009-156,0-7",1009-156,0-7,26
"1009-156,19-24",1009-156,19-24,26
"1009-156,9-17",1009-156,9-17,53
"1009-157,9-17",1009-157,9-17,26
"1009-158,7-9",1009-158,7-9,53
"1009-159,19-24",1009-159,19-24,26
"1009-竹辉路,19-24",1009-竹辉路,19-24,26
"1009-161,19-24",1009-161,19-24,26
